bootstrapNumber,param,value,dist
1,shape,10.981879091233163,gamma
1,rate,2.205906599334834,gamma
2,shape,12.191411004650286,gamma
2,rate,2.5548979800578833,gamma
3,shape,8.760658028729244,gamma
3,rate,1.8876683803942307,gamma
4,shape,24.65418940951281,gamma
4,rate,5.238569000683663,gamma
5,shape,3.6617199239893554,gamma
5,rate,0.7949225450117204,gamma
6,shape,12.967634219105713,gamma
6,rate,2.667522012247959,gamma
7,shape,16.259105098855358,gamma
7,rate,3.5921183192516675,gamma
8,shape,7.320826932051718,gamma
8,rate,1.5069614388608257,gamma
9,shape,9.44930424866554,gamma
9,rate,1.8938050573987946,gamma
10,shape,6.2801083466397944,gamma
10,rate,1.3836014081846308,gamma
11,shape,7.580682722350522,gamma
11,rate,1.521732069835724,gamma
12,shape,19.102401095408098,gamma
12,rate,4.121178409982986,gamma
13,shape,4.61290017831627,gamma
13,rate,0.9323146805344855,gamma
14,shape,5.681914051204355,gamma
14,rate,1.1511670825706668,gamma
15,shape,5.828943915504488,gamma
15,rate,1.305782846822515,gamma
16,shape,10.272846811308352,gamma
16,rate,2.2205630962712473,gamma
17,shape,9.52410549454905,gamma
17,rate,2.0532033689435907,gamma
18,shape,4.234162252719618,gamma
18,rate,0.8758327753097397,gamma
19,shape,5.135367295930199,gamma
19,rate,1.1843630892525914,gamma
20,shape,23.020312504496513,gamma
20,rate,4.892270409630735,gamma
21,shape,5.1954734973327366,gamma
21,rate,1.1142699019061875,gamma
22,shape,8.773417137881781,gamma
22,rate,1.812324580359507,gamma
23,shape,21.382755422070108,gamma
23,rate,4.566767792060703,gamma
24,shape,23.596410171541848,gamma
24,rate,4.9936080653570745,gamma
25,shape,14.306376892664534,gamma
25,rate,3.0880524646724434,gamma
26,shape,22.76236816036361,gamma
26,rate,4.686529731212407,gamma
27,shape,4.369358284582946,gamma
27,rate,0.7763050635208015,gamma
28,shape,6.004290586108345,gamma
28,rate,1.1996207192011215,gamma
29,shape,2.7777777777777786,gamma
29,rate,0.5547713311520202,gamma
30,shape,5.003998596784626,gamma
30,rate,1.0589588705247401,gamma
31,shape,9.116315433265655,gamma
31,rate,1.7586250204222542,gamma
32,shape,4.488263187601839,gamma
32,rate,0.9080184245380272,gamma
33,shape,7.121742275792514,gamma
33,rate,1.4371930757787312,gamma
34,shape,5.1652892561983474,gamma
34,rate,1.203589341859944,gamma
35,shape,7.761240061732745,gamma
35,rate,1.5797758738575696,gamma
36,shape,7.855074503810653,gamma
36,rate,1.6282330181011404,gamma
37,shape,21.433470507544587,gamma
37,rate,4.599683068780662,gamma
38,shape,24.840764736257054,gamma
38,rate,5.234132423550154,gamma
39,shape,17.689779349296884,gamma
39,rate,3.7610484751738733,gamma
40,shape,9.124777032005763,gamma
40,rate,1.9984956196730055,gamma
41,shape,10.887831384424496,gamma
41,rate,2.1513274947578522,gamma
42,shape,9.47911863913223,gamma
42,rate,2.0976240434413627,gamma
43,shape,5.01824231446153,gamma
43,rate,0.9850192829286456,gamma
44,shape,12.191411004650293,gamma
44,rate,2.573250417870798,gamma
45,shape,7.796787255649831,gamma
45,rate,1.635326209233907,gamma
46,shape,10.008338826208599,gamma
46,rate,2.057903230270901,gamma
47,shape,4.961176767633149,gamma
47,rate,1.1326729116247443,gamma
48,shape,7.320421281460247,gamma
48,rate,1.3468319948201277,gamma
49,shape,14.19619582001195,gamma
49,rate,2.901533576755156,gamma
50,shape,24.901730658155547,gamma
50,rate,4.972623078966682,gamma
51,shape,3.1110144185578568,gamma
51,rate,0.7914730843086802,gamma
52,shape,5.647399846752158,gamma
52,rate,1.173589511080862,gamma
53,shape,6.782136162652914,gamma
53,rate,1.323351873415192,gamma
54,shape,5.681914051204355,gamma
54,rate,1.2131984202309767,gamma
55,shape,6.200298407961778,gamma
55,rate,1.4026885490167753,gamma
56,shape,8.526487311006548,gamma
56,rate,1.6170469295454462,gamma
57,shape,3.170631731885293,gamma
57,rate,0.7441848670069137,gamma
58,shape,5.823183911987001,gamma
58,rate,1.2332697079565385,gamma
59,shape,7.854172832980823,gamma
59,rate,1.6482006674266594,gamma
60,shape,7.121742275792511,gamma
60,rate,1.4606542745566984,gamma
61,shape,9.040687840669179,gamma
61,rate,1.969386964157804,gamma
62,shape,5.688854852574477,gamma
62,rate,1.0185441482563695,gamma
63,shape,6.045175899336469,gamma
63,rate,1.2743433768944306,gamma
64,shape,15.024999136867882,gamma
64,rate,3.2513582487851127,gamma
65,shape,16.265820615371663,gamma
65,rate,3.5352202274891846,gamma
66,shape,11.664277822568598,gamma
66,rate,2.5565696148845074,gamma
67,shape,6.007304882737411,gamma
67,rate,1.1719919085916297,gamma
68,shape,5.750486144251118,gamma
68,rate,1.1661592756494403,gamma
69,shape,7.855074503810654,gamma
69,rate,1.6377070676536991,gamma
70,shape,7.073336351290177,gamma
70,rate,1.4881233377128236,gamma
71,shape,5.546258277607177,gamma
71,rate,1.1346116921744944,gamma
72,shape,4.716470116807185,gamma
72,rate,1.052688246644244,gamma
73,shape,22.762368160363607,gamma
73,rate,4.755527512213046,gamma
74,shape,16.192178058587093,gamma
74,rate,3.2617107243773913,gamma
75,shape,6.092327411509266,gamma
75,rate,1.1365486105630316,gamma
76,shape,8.779274380237494,gamma
76,rate,1.8825525712073705,gamma
77,shape,7.832579224135189,gamma
77,rate,1.7430689789213312,gamma
78,shape,21.433470507544577,gamma
78,rate,4.41397319253907,gamma
79,shape,5.512440723181421,gamma
79,rate,1.062880987711728,gamma
80,shape,7.851919335016481,gamma
80,rate,1.5800255462514141,gamma
81,shape,7.799017059307871,gamma
81,rate,1.4818367478375019,gamma
82,shape,6.007304882737409,gamma
82,rate,1.1367730348850908,gamma
83,shape,24.71446934635184,gamma
83,rate,4.787050221576829,gamma
84,shape,4.612900178316269,gamma
84,rate,0.9023187244045623,gamma
85,shape,12.32323877549094,gamma
85,rate,2.7106229889631144,gamma
86,shape,16.285992147292795,gamma
86,rate,3.3964647095401346,gamma
87,shape,18.06909100324366,gamma
87,rate,3.5367394746192877,gamma
88,shape,4.766795973483104,gamma
88,rate,0.9110875321145857,gamma
89,shape,6.486507400388834,gamma
89,rate,1.3658051546925605,gamma
90,shape,4.477959924684803,gamma
90,rate,0.8973901123817782,gamma
91,shape,15.928560127485573,gamma
91,rate,3.3322767629566123,gamma
92,shape,7.071410389255255,gamma
92,rate,1.3748487826350293,gamma
93,shape,6.904586189460561,gamma
93,rate,1.4162972357774548,gamma
94,shape,3.7441650931188826,gamma
94,rate,0.8068239437505277,gamma
95,shape,11.66509372742527,gamma
95,rate,2.3464709198899336,gamma
96,shape,17.500837800107167,gamma
96,rate,3.888427820518973,gamma
97,shape,3.447718596612378,gamma
97,rate,0.6935129087564633,gamma
98,shape,5.165289256198348,gamma
98,rate,1.0647367619710095,gamma
99,shape,7.311100615643149,gamma
99,rate,1.462400815002115,gamma
100,shape,5.01824231446153,gamma
100,rate,0.9546779484924363,gamma
